Instrument,PUTCALLIND,EXPIR_DATE,STRIKE_PRC,CF_CLOSE,IMP_VOLT
/GDAX213000D6.EX,CALL,2026-04-17,21300,4008.7,29.2792
/GDAX213500D6.EX,CALL,2026-04-17,21350,3960.0,29.0804
/GDAX214000D6.EX,CALL,2026-04-17,21400,3911.4,28.8788
/GDAX214500D6.EX,CALL,2026-04-17,21450,3862.7,28.6744
/GDAX215000D6.EX,CALL,2026-04-17,21500,3814.1,28.477
/GDAX215500D6.EX,CALL,2026-04-17,21550,3765.6,28.2766
/GDAX216000D6.EX,CALL,2026-04-17,21600,3717.1,28.0732
/GDAX216500D6.EX,CALL,2026-04-17,21650,3668.6,27.8762
/GDAX217000D6.EX,CALL,2026-04-17,21700,3620.1,27.676
/GDAX217500D6.EX,CALL,2026-04-17,21750,3571.7,27.4816
/GDAX218000D6.EX,CALL,2026-04-17,21800,3523.4,27.2838
/GDAX218500D6.EX,CALL,2026-04-17,21850,3475.1,27.0913
/GDAX219000D6.EX,CALL,2026-04-17,21900,3426.8,26.8953
/GDAX219500D6.EX,CALL,2026-04-17,21950,3378.6,26.6959
/GDAX220000D6.EX,CALL,2026-04-17,22000,3330.5,26.5011
/GDAX220500D6.EX,CALL,2026-04-17,22050,3282.4,26.3107
/GDAX221000D6.EX,CALL,2026-04-17,22100,3234.4,26.1164
/GDAX221500D6.EX,CALL,2026-04-17,22150,3186.4,25.9261
/GDAX222000D6.EX,CALL,2026-04-17,22200,3138.5,25.7318
/GDAX222500D6.EX,CALL,2026-04-17,22250,3090.6,25.541
/GDAX223000D6.EX,CALL,2026-04-17,22300,3042.8,25.3533
/GDAX223500D6.EX,CALL,2026-04-17,22350,2995.1,25.1614
/GDAX224000D6.EX,CALL,2026-04-17,22400,2947.5,24.9723
/GDAX224500D6.EX,CALL,2026-04-17,22450,2899.9,24.7856
/GDAX225000D6.EX,CALL,2026-04-17,22500,2852.5,24.5944
/GDAX225500D6.EX,CALL,2026-04-17,22550,2805.1,24.4054
/GDAX226000D6.EX,CALL,2026-04-17,22600,2757.7,24.2182
/GDAX226500D6.EX,CALL,2026-04-17,22650,2710.5,24.0325
/GDAX226500P6.EX,PUT ,2026-04-17,22650,100.4,23.6073
/GDAX227000D6.EX,CALL,2026-04-17,22700,2663.4,23.8482
/GDAX227000P6.EX,PUT ,2026-04-17,22700,103.1,23.4277
/GDAX227500D6.EX,CALL,2026-04-17,22750,2616.4,23.6589
/GDAX227500P6.EX,PUT ,2026-04-17,22750,106.0,23.2553
/GDAX228000D6.EX,CALL,2026-04-17,22800,2569.5,23.4765
/GDAX228000P6.EX,PUT ,2026-04-17,22800,108.9,23.0773
/GDAX228500D6.EX,CALL,2026-04-17,22850,2522.7,23.2888
/GDAX228500P6.EX,PUT ,2026-04-17,22850,112.0,22.9
/GDAX229000D6.EX,CALL,2026-04-17,22900,2476.0,23.1074
